ford, galaxy, 151000, 2011, 103, diesel, 10584, 
skoda, octavia, 143476, 2012, 81, diesel, 8882, 
skoda, fabia, 111970, 2004, 47, gasoline, 2960, 
skoda, fabia, 128886, 2004, 47, gasoline, 2738, 
skoda, fabia, 140932, 2003, 40, gasoline, 1628, 
skoda, fabia, 167220, 2001, 74, gasoline, 2072, 
skoda, octavia, 105389, 2003, 81, diesel, 4293, 
skoda, favorit, 41250, 1990, 44, gasoline, 370, 
suzuki, swift, 122100, 2003, 39, gasoline, 999, 
nissan, x-trail, 149465, 2005, 121, gasoline, 4811, 
opel, astra, 316054, 2005, 74, diesel, 2331, 
skoda, superb, 269398, 2005, 96, diesel, 4663, 
skoda, fabia, 87257, 2008, 44, gasoline, 4219, 
skoda, fabia, 130340, 2001, 50, gasoline, 2442, 
ford, focus, 227415, 2002, 85, diesel, 2146, 
ford, fiesta, 84476, 1997, 44, gasoline, 740, 
citroen, c4-picasso, 112313, 2007, 92, gasoline, 7105, 
seat, ibiza, 86484, 2007, 51, gasoline, 3700, 
audi, a6, 207427, 2007, 132, diesel, 8882, 
suzuki, swift, 113175, 2013, 100, gasoline, 7401, 
kia, soul, 40184, 2010, 93, gasoline, 6883, 
skoda, fabia, 186838, 2007, 59, diesel, 4293, 
skoda, fabia, 97070, 2007, 40, gasoline, 3182, 
ford, focus, 159427, 2012, 85, diesel, 8771, 
ford, galaxy, 160235, 2012, 85, diesel, 11102, 
skoda, roomster, 125341, 2007, 77, diesel, 5218, 
skoda, octavia, 38513, 2009, 75, gasoline, 7957, 
skoda, fabia, 87777, 2005, 51, diesel, 3256, 
skoda, fabia, 98835, 2005, 55, diesel, 3923, 
citroen, c5, 143130, 2011, 82, diesel, 7512, 
ford, c-max, 99713, 2008, 74, gasoline, 6476, 
citroen, c1, 78010, 2006, 50, gasoline, 2627, 
audi, a8, 4000, 2014, 317, diesel, 98692, 
skoda, octavia, 101761, 2009, 77, diesel, 9363, 
skoda, fabia, 142093, 2004, 47, gasoline, 2220, 
skoda, octavia, 55569, 2011, 77, diesel, 9548, 
audi, q7, 283000, 2007, 171, diesel, 11806, 
skoda, fabia, 137505, 2005, 47, gasoline, 2183, 
skoda, roomster, 50300, 2008, 51, gasoline, 4922, 
ford, mondeo, 164867, 2012, 120, diesel, 11102, 
citroen, c5, 126500, 2006, 80, diesel, 3256, 
ford, focus, 134000, 2008, 80, diesel, 5107, 
skoda, octavia, 127380, 2006, 77, diesel, 4626, 
skoda, octavia, 181450, 2005, 77, diesel, 4252, 
skoda, octavia, 151880, 2007, 77, diesel, 4959, 
ford, galaxy, 263000, 1998, 85, gasoline, 740, 
skoda, octavia, 132140, 2010, 77, diesel, 7031, 
skoda, fabia, 187669, 2007, 51, diesel, 3327, 
toyota, auris, 5, 2015, 97, gasoline, 14985, 
toyota, aygo, 5, 2015, 51, gasoline, 8878, 
skoda, superb, 170220, 2005, 96, diesel, 4108, 
citroen, c4, 91960, 2006, 65, gasoline, 3885, 
skoda, felicia, 69000, 1997, 55, gasoline, 1813, 
skoda, fabia, 177974, 2003, 40, gasoline, 1850, 
skoda, fabia, 130749, 2004, 47, gasoline, 2960, 
skoda, felicia, 89799, 1996, 50, gasoline, 962, 
ford, mondeo, 191442, 2006, 85, diesel, 3700, 
seat, ibiza, 123300, 2005, 47, gasoline, 2701, 
citroen, xsara-picasso, 159778, 2002, 70, gasoline, 2220, 
skoda, octavia, 173666, 2008, 103, diesel, 9030, 
skoda, fabia, 292165, 2001, 50, gasoline, 1480, 
skoda, octavia, 70295, 2009, 74, diesel, 6994, 
ford, focus, 176899, 2008, 80, diesel, 4996, 
bmw, x6, 107763, 2008, 225, gasoline, 22205, 
skoda, yeti, 148100, 2010, 103, diesel, 12213, 
hyundai, i20, 29934, 2010, 57, gasoline, 5773, 
citroen, c5, 52542, 2007, 92, gasoline, 5551, 
skoda, fabia, 45128, 2007, 51, gasoline, 4885, 
skoda, fabia, 176533, 2004, 55, diesel, 3182, 
ford, c-max, 163810, 2007, 85, diesel, 4811, 
opel, corsa, 91743, 2008, 59, gasoline, 4404, 
skoda, fabia, 148165, 2006, 74, diesel, 3700, 
citroen, xsara, 164949, 2005, 66, diesel, 2405, 
skoda, fabia, 7993, 2015, 81, gasoline, 11102, 
skoda, roomster, 56145, 2008, 51, gasoline, 5551, 
nissan, qashqai, 44450, 2010, 110, diesel, 13693, 
hyundai, accent, 97682, 2007, 81, diesel, 3700, 
skoda, octavia, 182668, 2007, 75, gasoline, 5181, 
citroen, c4, 99039, 2006, 65, gasoline, 4071, 
ford, focus, 158285, 2001, 74, gasoline, 1702, 
skoda, felicia, 214038, 1998, 55, gasoline, 1110, 
skoda, superb, 218607, 2008, 103, diesel, 7401, 
ford, fusion, 214961, 2004, 50, diesel, 2220, 
skoda, octavia, 105430, 2008, 75, gasoline, 4811, 
skoda, fabia, 112100, 2007, 59, gasoline, 2886, 
skoda, roomster, 117414, 2006, 77, diesel, 5625, 
hyundai, ix35, 67708, 2014, 100, diesel, 17764, 
skoda, octavia, 173228, 2008, 77, diesel, 7957, 
skoda, octavia, 180990, 2010, 77, diesel, 8512, 
toyota, avensis, 113457, 2012, 130, diesel, 12213, 
hyundai, ix35, 11891, 2014, 100, diesel, 19985, 
fiat, stilo, 63588, 2004, 76, gasoline, 2960, 
skoda, octavia, 156168, 2010, 103, diesel, 12213, 
skoda, fabia, 121452, 2012, 55, diesel, 6661, 
skoda, fabia, 187079, 2011, 55, diesel, 5921, 
hyundai, i30, 8247, 2015, 81, diesel, 12953, 
skoda, fabia, 79348, 2005, 47, gasoline, 2960, 
toyota, aygo, 14221, 2012, 50, gasoline, 6328, 
ford, mondeo, 302711, 2003, 96, diesel, 2590, 
skoda, octavia, 220177, 2008, 77, diesel, 5773, 
ford, focus, 206706, 2006, 80, diesel, 3330, 
skoda, octavia, 199487, 2006, 103, diesel, 6291, 
skoda, citigo, 10349, 2014, 44, gasoline, 8142, 
hyundai, ix20, 23196, 2013, 66, gasoline, 9807, 
ford, c-max, 73103, 2009, 74, gasoline, 7179, 
skoda, fabia, 55261, 2006, 40, gasoline, 2775, 
opel, omega, 270000, 2000, 88, diesel, 1184, 
seat, ibiza, 121353, 2003, 47, gasoline, 1961, 
skoda, octavia, 88000, 2007, 85, gasoline, 5736, 
audi, a6, 275000, 2004, 165, diesel, 3293, 
citroen, c5, 165639, 2005, 80, diesel, 3478, 
skoda, superb, 195000, 2010, 103, diesel, 11658, 
volvo, xc90, 197000, 2006, 175, gasoline, 9215, 
hyundai, i30, 77572, 2011, 66, diesel, 7364, 
skoda, octavia, 177106, 2006, 77, diesel, 5662, 
opel, astra, 176915, 2005, 125, gasoline, 4441, 
ford, focus, 94763, 2009, 85, diesel, 6106, 
skoda, fabia, 115800, 2007, 59, gasoline, 4437, 
skoda, fabia, 86183, 2002, 40, gasoline, 2035, 
skoda, octavia, 119732, 2006, 77, diesel, 5218, 
ford, c-max, 67232, 2009, 74, gasoline, 6809, 
skoda, fabia, 51108, 2008, 51, gasoline, 5662, 
chevrolet, cruze, 135968, 2013, 120, diesel, 9585, 
skoda, octavia, 55097, 2011, 75, gasoline, 7179, 
mazda, 6, 165000, 2003, 88, gasoline, 2923, 
hyundai, accent, 121553, 2004, 62, gasoline, 1517, 
skoda, fabia, 99000, 2006, 40, gasoline, 2183, 
citroen, c4-picasso, 94895, 2009, 80, diesel, 7216, 
skoda, octavia, 168888, 2004, 75, gasoline, 2405, 
skoda, octavia, 173000, 2006, 75, gasoline, 3515, 
jeep, grand-cherokee, 191306, 2007, 160, diesel, 7768, 
citroen, xsara-picasso, 193000, 2001, 85, gasoline, 1443, 
citroen, saxo, 128000, 2002, 44, gasoline, 1406, 
skoda, octavia, 30351, 2015, 132, gasoline, 16839, 
nissan, x-trail, 166000, 2006, 100, diesel, 5840, 
ford, galaxy, 156000, 2007, 103, diesel, 7949, 
opel, insignia, 129000, 2012, 96, diesel, 10651, 
audi, a8, 275000, 2007, 171, diesel, 10325, 
ford, galaxy, 167000, 2012, 147, diesel, 14796, 
skoda, octavia, 173000, 2003, 85, gasoline, 2849, 
skoda, fabia, 199000, 2012, 66, diesel, 4766, 
skoda, octavia, 151361, 2010, 74, diesel, 6291, 
hyundai, ix35, 29413, 2012, 99, gasoline, 14211, 
skoda, felicia, 82260, 1996, 50, gasoline, 1106, 
opel, corsa, 168130, 2004, 44, gasoline, 1813, 
fiat, croma, 179000, 2007, 110, diesel, 3886, 
subaru, impreza, 190000, 2002, 160, gasoline, 7401, 
mazda, 5, 200000, 2006, 81, diesel, 4811, 
skoda, roomster, 124000, 2007, 63, gasoline, 4700, 
toyota, yaris, 109800, 2006, 64, gasoline, 4256, 
ford, mondeo, 188000, 2002, 107, gasoline, 2183, 
hyundai, sonata, 119000, 2007, 103, diesel, 4774, 
audi, a4, 228000, 2008, 100, diesel, 8845, 
